Protein	Degree
========================================
A0AV02	1
A0AV96	2
A0AVF1	3
A0AVI4	6
A0AVK6	1
A0AVT1	10
A0FGR8	4
A0JLT2	15
A0JNW5	4
A0MZ66	6
A0PJW6	1
A0PJW8	1
A0PJY2	1
A0PK00	5
A1A4S6	3
A1A4V9	1
A1A4Y4	5
A1A519	1
A1A5C7	2
A1E959	2
A1KZ92	2
A1L0T0	6
A1L162	2
A1L170	1
A1L188	6
A1L190	4
A1L390	3
A1L3X4	1
A1L429	1
A1L4K1	15
A1X283	4
A2A2V5	1
A2A2Y4	4
A2A3N6	2
A2AJT9	1
A2RRH5	1
A2RRP1	3
A2RTX5	6
A2RU14	2
A2RU30	2
A2RU48	1
A2RU54	1
A2RU67	3
A2RUB6	3
A2RUC4	1
A2RUR9	2
A2RUS2	1
A2RUU4	1
A2VCK2	2
A3KMH1	2
A3KN83	2
A4D0S4	5
A4D161	1
A4D1E9	1
A4D1P6	2
A4D1S0	1
A4D1S5	2
A4D1U4	1
A4QMS7	1
A4UGR9	2
A5A3E0	10
A5D8V6	13
A5D8V7	7
A5PKW4	1
A5PL33	2
A5PLL7	9
A5PLN9	2
A5YKK6	18
A5YM69	1
A6BM72	2
A6H8Y1	3
A6H8Z2	1
A6NC98	8
A6NCE7	1
A6NCL7	1
A6NCV1	1
A6ND36	1
A6ND91	2
A6NDB9	1
A6NDG6	2
A6NDH6	3
A6NDL8	1
A6NDS4	3
A6NEK1	1
A6NEM1	28
A6NET4	2
A6NF89	1
A6NFI3	3
A6NFQ2	1
A6NFY7	1
A6NGG8	1
A6NGR9	1
A6NHA9	1
A6NHG4	1
A6NHL2	4
A6NHQ2	1
A6NHQ4	5
A6NHR9	5
A6NHT5	1
A6NI15	2
A6NI73	3
A6NI79	1
A6NIH7	2
A6NIJ9	1
A6NJZ3	2
A6NJZ7	1
A6NK59	3
A6NK75	1
A6NK89	3
A6NKD9	5
A6NKK0	3
A6NKT7	5
A6NKU9	1
A6NL08	2
A6NLU0	1
A6NLX3	3
A6NM03	1
A6NM45	6
A6NM76	2
A6NMK7	1
A6NMX2	1
A6NMY6	4
A6NMZ7	5
A6NND4	2
A6PVS8	1
A6QL64	3
A6ZKI3	6
A7E2V4	3
A7E2Y1	5
A7KAX9	6
A7MCY6	3
A7MD48	2
A8CG34	2
A8K0Z3	2
A8K2U0	1
A8K8P3	4
A8K8V0	5
A8K979	1
A8MQ03	75
