Rank	Protein	Degree
==================================================
1	P05067	68
2	P04629	48
3	P05412	47
4	Q15717	46
5	O14980	43
6	P62993	40
7	P04637	36
8	Q13618	35
9	P01106	35
10	P03372	35
11	Q9HCE1	34
12	Q92905	30
13	P24941	29
14	Q9UBU9	28
15	Q09472	27
16	P63104	27
17	P32121	26
18	Q13547	25
19	Q14999	25
20	P07900	25
21	P12830	24
22	P08238	24
23	P00533	23
24	Q86VP6	23
25	Q99459	23
26	P50222	23
27	P60520	22
28	P12931	22
29	Q13315	21
30	Q01844	21
31	P68431	21
32	Q13573	21
33	Q9UKB1	21
34	O75530	21
35	Q04206	21
36	P09651	21
37	Q99496	21
38	P49736	20
39	P06748	20
40	Q8TBB1	20
41	P27694	20
42	Q14164	20
43	Q5S007	19
44	P18146	19
45	P02751	18
46	Q9NPJ6	18
47	Q8IWL3	18
48	P38398	18
49	P78362	18
50	Q13617	18
51	P19838	18
52	O95817	18
53	Q15910	17
54	P68104	17
55	Q00987	17
56	Q7Z3S9	17
57	P49407	17
58	Q16666	17
59	Q9Y6K9	17
60	O95793	17
61	Q07021	17
62	P34897	17
63	P48431	17
64	Q9NRD1	17
65	P26368	17
66	P19320	16
67	Q99750	16
68	P55072	16
69	P42858	16
70	Q12933	16
71	P22694	16
72	P27348	16
73	P54253	16
74	P62258	16
75	P35244	16
76	Q6IQ23	16
77	O14964	16
78	Q6NUN9	15
79	Q9GZQ8	15
80	P13612	15
81	P31749	15
82	P04792	15
83	Q96FW1	15
84	Q9Y230	15
85	P31946	15
86	P07550	15
87	P27361	15
88	Q7Z6Z7	15
89	Q9UHB6	15
90	Q9NRC8	15
91	Q9H492	15
92	O75147	15
93	P49841	15
94	P62807	14
95	P35226	14
96	Q00839	14
97	P62979	14
98	Q9Y4K3	14
99	Q15843	14
100	Q93034	14
101	Q08379	14
102	P35637	14
103	P60484	14
104	Q08211	14
105	P40763	14
106	P15927	14
107	O95166	14
108	O76011	14
109	P17612	14
110	P06493	14
111	P38405	13
112	Q8IVT5	13
113	P06241	13
114	Q92731	13
115	P51148	13
116	Q15051	13
117	Q9H0W5	13
118	Q9UHD9	13
119	Q86X19	13
120	O60260	13
121	P46108	13
122	P68400	13
123	Q9H0R8	13
124	Q9UMX0	13
125	P12956	13
126	P01889	13
127	Q13616	13
128	P38936	13
129	P0DMV9	13
130	P08670	13
131	P51532	13
132	Q71U36	13
133	P17844	12
134	P84098	12
135	P39023	12
136	Q96CS3	12
137	Q00610	12
138	P60410	12
139	P29353	12
140	A8MQ03	12
141	P78318	12
142	Q13526	12
143	P29590	12
144	P04406	12
145	P15880	12
146	Q9BRK4	12
147	P06400	12
148	P31689	12
149	O43889	12
150	P60953	12
151	P23246	12
152	Q16643	12
153	P58340	12
154	P27986	12
155	Q13620	12
156	O14965	12
157	P22612	12
158	Q6A162	11
159	Q6ZW49	11
160	P14373	11
161	P04626	11
162	P42771	11
163	P60709	11
164	P51149	11
165	Q9UNE7	11
166	O00560	11
167	Q16891	11
168	Q15022	11
169	P04150	11
170	Q14204	11
171	P62873	11
172	P61221	11
173	Q96B97	11
174	Q96GG9	11
175	P35222	11
176	Q16543	11
177	Q13485	11
178	Q16637	11
179	P67870	11
180	Q04724	11
181	Q9UL18	11
182	Q01860	11
183	P0DP23	11
184	P04899	11
185	P20618	11
186	P10275	11
187	Q13263	10
188	P25963	10
189	P00338	10
190	P62805	10
191	Q02878	10
192	P11441	10
193	P40337	10
194	P63167	10
195	Q15637	10
196	P60981	10
197	P52272	10
198	O95967	10
199	P46934	10
200	P63279	10
201	P14618	10
202	O00567	10
203	O95714	10
204	Q96A08	10
205	P24928	10
206	Q13501	10
207	P61247	10
208	Q14203	10
209	Q86X55	10
210	Q9Y265	10
211	Q14103	10
212	Q9HCE7	10
213	Q96H55	10
214	Q9BVG8	10
215	P49674	10
216	P42224	10
217	P35998	10
218	P16333	10
219	P68036	10
220	O00571	10
221	P62140	10
222	O75376	10
223	Q15654	10
224	O60262	10
225	P45983	10
226	P00519	10
227	Q08945	10
228	Q9Y2I6	10
